ingredient_name,gut_health/microbiome_support
Adzuki Beans,prebiotic
Almonds,prebiotic
Amaranth,prebiotic
Anchovies,no
Apple Cider Vinegar,postbiotic
Apples,prebiotic
Artichokes,prebiotic
Arugula,no
Asiago Cheese,probiotic;postbiotic
Asparagus,prebiotic
Avocado Oil,no
Avocados,prebiotic
Baked Chickpea Snacks,prebiotic
Balsamic Vinegar,postbiotic
Barley,prebiotic
Beet Pasta,prebiotic
Beets,prebiotic
Bell Peppers,no
Bilberries (Dried),prebiotic
Black Beans,prebiotic
Black currants (Dried),prebiotic
Blackberries,prebiotic
Blue Cheese,probiotic;postbiotic
Blue Corn,prebiotic
Blueberries,prebiotic
Brazil Nuts,prebiotic
Brie Cheese,probiotic;postbiotic
Broccoli,prebiotic
Brown Rice,prebiotic
Brown Rice Pasta,prebiotic
Brussel Sprouts,prebiotic
Buckwheat (Soba) Noodles,prebiotic
Cabbage,prebiotic
Cacao,prebiotic
Camembert Cheese,probiotic;postbiotic
Capers,no
Carrots,prebiotic
Cashews,prebiotic
Cauliflower,prebiotic
Celery,prebiotic
Cheddar Cheese,probiotic;postbiotic
Cherries,prebiotic
Chia Seeds,prebiotic
Chicken Breast,no
Chickpea Pasta,prebiotic
Chickpeas,prebiotic
Chili Peppers,no
Cinnamon,no
Cloves,no
Cod Liver Oil,no
Coffee,prebiotic
Collard Greens,prebiotic
Cornmeal (whole grain),prebiotic
Cottage Cheese,probiotic;postbiotic
Cranberries,prebiotic
Cranberries (Dried),prebiotic
Cucumber,no
Dates,prebiotic
Edam Cheese,probiotic;postbiotic
Edamame,prebiotic
Eggplant,prebiotic
Eggs,no
Farro,prebiotic
Feta Cheese,probiotic;postbiotic
Figs,prebiotic
Flaxseeds,prebiotic
Flounder,no
Garlic,prebiotic
Golgi Berries,prebiotic
Gooseberries,prebiotic
Gooseberries (Dried),prebiotic
Gouda Cheese,probiotic;postbiotic
Grapefruit,prebiotic
Grapes,prebiotic
Green Peas,prebiotic
Green Tea,prebiotic
"Grits (whole grain, cooked)",prebiotic
GruyÃÂ¨re Cheese,probiotic;postbiotic
Hazelnuts,prebiotic
Heirloom Corn,prebiotic
Herring,no
Hominy Corn,prebiotic
Honey,prebiotic
Horseradish,no
Kale,prebiotic
Kefir,prebiotic;probiotic;postbiotic
Kidney Beans,prebiotic
Kimchi,prebiotic;probiotic;postbiotic
Kiwis,prebiotic
Kombucha (Unsweetened),probiotic;postbiotic
Krill Oil,no
Lamb,no
Lemon,prebiotic
Lentil Pasta,prebiotic
Lentils,prebiotic
Limburger Cheese,probiotic;postbiotic
Liver,no
Low-fat Milk,no
Lupins,prebiotic
Macadamia Nuts,prebiotic
Mackerel,no
Millet,prebiotic
Miso,prebiotic;probiotic;postbiotic
Mozzarella Cheese (if fermented),probiotic;postbiotic
Mulberries,prebiotic
Mulberries (Dried),prebiotic
Mung Beans,prebiotic
Mushrooms,prebiotic
Mustard Greens,prebiotic
Natto,prebiotic;probiotic;postbiotic
Navy Beans,prebiotic
Oat-based Bars,prebiotic
Oats/Oat Groats/Steel Cut/Rolled,prebiotic
Olives,prebiotic
Olive Oil,no
Onions,prebiotic
Orange,prebiotic
Paprika,no
Parmesan Cheese,probiotic;postbiotic
Passion Fruit,prebiotic
Peanuts,prebiotic
Pecans,prebiotic
Pinto beans,prebiotic
Pistachios,prebiotic
Plums,prebiotic
Polenta (cooked),prebiotic
Pork,no
Provolone Cheese,probiotic;postbiotic
Prunes,prebiotic
Pumpkin Seeds,prebiotic
Purple Corn,prebiotic
Quinoa,prebiotic
Quinoa Pasta,prebiotic
Raisins,prebiotic
Raspberries,prebiotic
Roasted Edamame,prebiotic
Romaine,prebiotic
Romano Cheese,probiotic;postbiotic
Rosemary,no
Sage,no
Salmon,no
Sardines,no
Sauerkraut,prebiotic;probiotic;postbiotic
Sea Bass,no
Seaweed Snacks,prebiotic
Semolina Pasta,prebiotic
Sesame Seeds,prebiotic
Sourdough Pasta ,prebiotic;postbiotic
Soy Milk,prebiotic
Soybeans,prebiotic
Spelt Pasta,prebiotic
Spinach,prebiotic
Spinach Pasta,prebiotic
Split Peas,prebiotic
Squash,prebiotic
Strawberries,prebiotic
Sturgeon,no
Sunflower Seeds,prebiotic
Sweet Corn,prebiotic
Sweet Potatoes,prebiotic
Swiss Chard,prebiotic
Swiss Cheese,probiotic;postbiotic
Tempeh,prebiotic;probiotic;postbiotic
Tilsit Cheese,probiotic;postbiotic
Tofu,prebiotic
Tomatoes,prebiotic
Trout,no
Turkey,no
Tumeric,no
Walnuts,prebiotic
Wasabi,no
Watermelon,prebiotic
Whole Grain Bread,prebiotic
Whole Grain Pasta (non-wheat options),prebiotic
Whole Grain Seed Crackers,prebiotic
Whole Wheat,prebiotic
Whole Wheat Pasta,prebiotic
Yellow Catfish,no
Yogurt (Fermented),prebiotic;probiotic;postbiotic
Zucchini,prebiotic
